0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:11:52 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 200 22871
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:11:52 -0500] "GET /ProyectoFinal_LPII/ServletProveedorJSON HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:11:52 -0500] "GET /ProyectoFinal_LPII/Servlet_OC_DetalleOC_JSON HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:12:56 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 200 22870
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:12:56 -0500] "GET /ProyectoFinal_LPII/ServletProveedorJSON HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:12:56 -0500] "GET /ProyectoFinal_LPII/Servlet_OC_DetalleOC_JSON HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:13:02 -0500] "GET /ProyectoFinal_LPII/ServletDevolucionBien?tipo=ADICIONAR&nroOC=OC-00001&codigoBien=1&descripcionDano=Laptop%20HP%2015.5%22%20de%201TB%2C8RAM&precio=25&cantidad=5&creditoAdeudado=125 HTTP/1.1" 200 1595
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:13:19 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 200 22878
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:13:19 -0500] "GET /ProyectoFinal_LPII/Servlet_OC_DetalleOC_JSON HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:13:20 -0500] "GET /ProyectoFinal_LPII/ServletProveedorJSON HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:13:23 -0500] "GET /ProyectoFinal_LPII/ServletDevolucionBien?tipo=ADICIONAR&nroOC=OC-00001&codigoBien=1&descripcionDano=Laptop%20HP%2015.5%22%20de%201TB%2C8RAM&precio=25&cantidad=5&creditoAdeudado=125 HTTP/1.1" 200 1794
